LightPink #FFB6C1 浅粉红 255,182,193 
Pink	#FFC0CB	粉红	255,192,203
ForestGreen	#228B22	森林绿	34,139,34
Green	#008000	纯绿	0,128,0
DarkGreen	#006400	暗绿色	0,100,0
Chartreuse	#7FFF00	查特酒绿 (黄绿色)	127,255,0
LawnGreen	#7CFC00	草坪绿	124,252,0
GreenYellow	#ADFF2F	绿黄色	173,255,47
DarkOliveGreen	#556B2F	暗橄榄绿	85,107,47
YellowGreen	#9ACD32	黄绿色	154,205,50
OliveDrab	#6B8E23	橄榄褐色	107,142,35
Beige	#F5F5DC	米色(灰棕色)	245,245,220
LightGoldenrodYellow	#FAFAD2	亮菊黄	250,250,210
Ivory	#FFFFF0	象牙	255,255,240
LightYellow	#FFFFE0	浅黄色	255,255,224
Yellow	#FFFF00	纯黄	255,255,0
Olive	#808000	橄榄	128,128,0
DarkKhaki	#BDB76B	深卡叽布	189,183,107
LemonChiffon	#FFFACD	柠檬绸	255,250,205
PaleGoldenrod	#EEE8AA	灰菊黄	238,232,170
Khaki	#F0E68C	卡叽布	240,230,140
Gold	#FFD700	金色	255,215,0
Cornsilk	#FFF8DC	玉米丝色	255,248,220
Goldenrod	#DAA520	金菊黄	218,165,32
DarkGoldenrod	#B8860B	暗金菊黄	184,134,11
FloralWhite	#FFFAF0	花的白色	255,250,240
OldLace	#FDF5E6	旧蕾丝	253,245,230
Wheat	#F5DEB3	小麦色	245,222,179
Moccasin	#FFE4B5	鹿皮靴	255,228,181
Orange	#FFA500	橙色	255,165,0
PapayaWhip	#FFEFD5	番木瓜	255,239,213
BlanchedAlmond	#FFEBCD	发白的杏仁色	255,235,205
NavajoWhite	#FFDEAD	土著白	255,222,173
AntiqueWhite	#FAEBD7	古董白	250,235,215
Tan	#D2B48C	茶色	210,180,140
BurlyWood	#DEB887	硬木色	222,184,135
Bisque 	#FFE4C4	陶坯黄	255,228,196
DarkOrange	#FF8C00	深橙色	255,140,0
Linen	#FAF0E6	亚麻布	250,240,230
Peru	#CD853F	秘鲁	205,133,63
PeachPuff	#FFDAB9	桃肉色	255,218,185
SandyBrown	#F4A460	沙棕色	244,164,96
Chocolate	#D2691E	巧克力	210,105,30
SaddleBrown	#8B4513	马鞍棕色	139,69,19
Seashell	#FFF5EE	海贝壳	255,245,238
Sienna	#A0522D	黄土赭色	160,82,45
LightSalmon	#FFA07A	浅鲑鱼肉色	255,160,122
Coral	#FF7F50	珊瑚	255,127,80
OrangeRed	#FF4500	橙红色	255,69,0
DarkSalmon	#E9967A	深鲜肉(鲑鱼)色	233,150,122
Tomato	#FF6347	番茄红	255,99,71
MistyRose	#FFE4E1	薄雾玫瑰	255,228,225
Salmon	#FA8072	鲜肉(鲑鱼)色	250,128,114
Snow	#FFFAFA	雪	255,250,250
LightCoral	#F08080	淡珊瑚色	240,128,128
RosyBrown	#BC8F8F	玫瑰棕色	188,143,143
IndianRed	#CD5C5C	印度红	205,92,92
Red	#FF0000	纯红	255,0,0
Brown	#A52A2A	棕色	165,42,42
FireBrick	#B22222	耐火砖	178,34,34
DarkRed	#8B0000	深红色	139,0,0
Maroon	#800000	栗色	128,0,0
White	#FFFFFF	纯白	255,255,255
WhiteSmoke	#F5F5F5	白烟	245,245,245
Gainsboro	#DCDCDC	庚斯博罗灰色	220,220,220
LightGrey	#D3D3D3	浅灰色	211,211,211
Silver	#C0C0C0	银灰色	192,192,192
DarkGray	#A9A9A9	深灰色	169,169,169
Gray	#808080	灰色	128,128,128
DimGray	#696969	暗淡的灰色	105,105,105
Black	#000000	纯黑	0,0,0
